# 性能日志 - 比特币密钥碰撞检测
# 创建时间: 2026-04-21T01:52:20.479782
# 格式: timestamp,speed,total_checked,matches,cpu_usage,memory_usage,threads
1776707540.956592,3098.9333319541593,1000,0,109.2,140.9453125,3
1776707541.4966068,2723.3123050512027,1000,0,93.4,233.703125,5
1776707542.6170373,2262.6355041875145,1000,0,77.5,234.3125,5
1776707543.4472218,2215.8073771422805,1000,0,109.0,240.25,5
1776707544.0674448,2862.3652861338896,1000,0,109.2,241.4765625,5
1776707544.902984,2916.0341750564357,1000,0,93.6,239.65234375,5
1776707546.1337142,3098.9333319541593,1000,0,93.6,140.9453125,3
1776707546.6825733,2723.3123050512027,1000,0,108.7,233.828125,5
1776707547.812592,2262.6355041875145,1000,0,92.9,234.58203125,5
1776707548.6472373,2215.8073771422805,1000,0,93.5,240.78515625,5
1776707549.2693875,2862.3652861338896,1000,0,93.5,241.98046875,5
1776707550.1039314,2916.0341750564357,1000,0,77.7,240.07421875,5
1776707551.3341672,3098.9333319541593,1000,0,109.1,141.66796875,3
1776707551.8784196,2723.3123050512027,1000,0,109.1,234.92578125,5
1776707553.014498,2262.6355041875145,1000,0,93.2,235.28125,5
1776707553.865024,2215.8073771422805,1000,0,109.0,241.3671875,5
1776707554.4930358,2862.3652861338896,1000,0,109.0,242.3125,5
1776707555.2989311,2916.0341750564357,1000,0,93.3,240.1484375,5
1776707556.5489688,3098.9333319541593,1000,0,93.5,141.68359375,3
1776707557.0748777,2723.3123050512027,1000,0,93.3,235.0,5
1776707558.2205188,2262.6355041875145,1000,0,93.2,235.30859375,5
1776707559.0707238,2215.8073771422805,1000,0,108.7,241.3828125,5
1776707559.6950023,2862.3652861338896,1000,0,93.3,242.31640625,5
1776707560.4896436,2916.0341750564357,1000,0,108.8,240.1484375,5
1776707561.765713,3098.9333319541593,1000,0,93.5,141.68359375,3
1776707562.2781513,2723.3123050512027,1000,0,93.7,235.0078125,5
1776707563.422817,2262.6355041875145,1000,0,109.1,235.3359375,5
1776707564.2724135,2215.8073771422805,1000,0,109.0,241.390625,5
1776707564.896018,2862.3652861338896,1000,0,109.2,242.3203125,5
1776707565.6902914,2916.0341750564357,1000,0,93.3,240.1484375,5
1776707566.963662,3098.9333319541593,1000,0,93.2,141.68359375,3
1776707567.4777446,2723.3123050512027,1000,0,109.1,235.01171875,5
1776707568.6316085,2262.6355041875145,1000,0,93.3,235.3359375,5
1776707569.4726262,2215.8073771422805,1000,0,108.8,241.390625,5
1776707570.108314,2862.3652861338896,1000,0,108.9,242.3203125,5
1776707570.9136677,2916.0341750564357,1000,0,109.2,240.1484375,5
1776707572.170985,3098.9333319541593,1000,0,108.8,141.68359375,3
1776707572.6827586,2723.3123050512027,1000,0,109.0,235.01171875,5
1776707573.8292365,2262.6355041875145,1000,0,93.5,235.33984375,5
1776707574.6727908,2215.8073771422805,1000,0,108.9,241.390625,5
1776707575.3124979,2862.3652861338896,1000,0,109.2,242.3359375,5
1776707576.1138532,2916.0341750564357,1000,0,108.8,240.1484375,5
1776707577.3748946,3098.9333319541593,1000,0,93.6,141.68359375,3
1776707577.8755796,2723.3123050512027,1000,0,109.3,235.01171875,5
1776707579.0365498,2262.6355041875145,1000,0,108.8,235.34375,5
1776707579.8768353,2215.8073771422805,1000,0,108.9,241.390625,5
1776707580.498485,2862.3652861338896,1000,0,77.9,242.35546875,5
1776707581.3112655,2916.0341750564357,1000,0,93.3,240.1484375,5
1776707582.5682323,3098.9333319541593,1000,0,93.6,141.68359375,3
1776707583.071321,2723.3123050512027,1000,0,109.0,235.01171875,5
