# 性能日志 - 比特币密钥碰撞检测
# 创建时间: 2026-04-22T03:26:43.425500
# 格式: timestamp,speed,total_checked,matches,cpu_usage,memory_usage,threads
1776800913.5383618,0.0,0,0,92.9,307.0,35
1776800914.9065351,0.0,0,0,95.3,307.41796875,46
1776800921.358906,0.0,0,0,98.0,307.45703125,46
1776800921.3201473,0.0,0,0,102.6,307.46484375,46
1776800926.593747,0.0,0,0,103.8,307.5,46
1776800928.9320557,0.0,0,0,146.8,307.50390625,46
1776800931.561454,0.0,0,0,99.4,307.52734375,46
1776800935.979857,0.0,0,0,102.7,307.5390625,46
1776800937.2915876,0.0,0,0,132.3,307.48046875,43
1776800942.607914,0.0,0,0,87.8,307.50390625,43
1776800943.2735863,0.0,0,0,104.2,307.5078125,43
1776800947.926672,0.0,0,0,112.8,307.54296875,43
1776800949.8535748,0.0,0,0,108.5,307.55078125,43
1776800954.2428434,0.0,0,0,137.3,307.578125,43
1776800957.4588919,0.0,0,0,100.9,307.5859375,43
1776800959.3036287,0.0,0,0,98.4,307.53125,40
1776800964.7382958,0.0,0,0,100.9,307.5703125,40
1776800965.4756193,0.0,0,0,141.5,307.57421875,40
1776800971.2232983,0.0,0,0,102.8,307.578125,39
1776800972.7926338,0.0,0,0,130.5,307.578125,39
1776800977.0096161,0.0,0,0,103.2,307.62890625,39
1776800979.4474704,0.0,0,0,99.3,307.6796875,39
1776800982.6754842,0.0,0,0,103.4,308.19921875,39
1776800986.338248,0.0,0,0,102.9,308.19921875,39
1776800989.399493,0.0,0,0,101.3,308.23046875,39
1776800993.2240598,0.0,0,0,95.0,308.234375,39
1776800995.1844022,0.0,0,0,104.0,308.26953125,39
1776801000.0586977,0.0,0,0,102.7,308.2890625,39
1776801000.417716,0.0,0,0,106.7,308.2890625,39
1776801006.0542343,0.0,0,0,93.3,308.3203125,39
1776801006.886889,0.0,0,0,99.7,308.3203125,39
1776801011.4257624,0.0,0,0,95.5,308.35546875,39
1776801013.1892757,0.0,0,0,99.1,308.40234375,39
1776801016.6133711,0.0,0,0,90.6,308.578125,39
1776801019.9532626,0.0,0,0,103.4,308.578125,39
1776801021.743258,0.0,0,0,101.9,308.60546875,39
1776801026.957038,0.0,0,0,99.3,308.609375,39
1776801028.3408127,0.0,0,0,101.8,308.65234375,39
1776801032.964017,0.0,0,0,98.7,308.515625,34
1776801033.990727,0.0,0,0,131.0,308.515625,34
1776801039.546779,0.0,0,0,98.2,308.54296875,34
1776801039.6532552,0.0,0,0,97.1,308.54296875,34
1776801045.2944899,0.0,0,0,75.6,308.59375,34
1776801046.2123685,0.0,0,0,98.0,308.59765625,34
1776801050.536861,0.0,0,0,108.6,308.64453125,34
1776801052.6953394,0.0,0,0,106.1,308.64453125,34
1776801055.6524878,0.0,0,0,97.9,308.6640625,34
1776801059.479866,0.0,0,0,97.5,308.6640625,34
1776801061.1613963,0.0,0,0,87.2,308.69921875,34
1776801065.770237,0.0,0,0,109.0,308.7109375,34
1776801066.5774121,0.0,0,0,104.9,308.7109375,34
1776801071.8451374,0.0,0,0,99.3,308.80078125,34
1776801072.1130993,0.0,0,0,98.4,308.80078125,34
